3992712010804,شیمی عمومی,فاطمه غازیانی,0,0,"",""
3992100407701,فرآیندهای اتفاقی,"رزا اقدم, محمد اسماعیل آراسته راد",1,0,1,""
3992810626602,مقاومت مصالح 2,مریم مهنما,0,1,"",64
3992711036901,زبان تخصصی,آزاده زاهدی گلپایگانی,1,9,50,"59, 61, 16, 67, 10, 62, 58, 63, 60"
3992150267203,اخلاق و احکام کسب و کار,سیدرضا سیدجوادین,6,0,"72, 114, 102, 74, 90, 91",""
3992710631301,شیمی مواد معطر و ادویه ای,علی اقاخانی,11,0,"73, 79, 64, 90, 94, 30, 64, 101, 131, 131, 127",""
3992910524350,ساز ایرانی 4,رضا پرویز زاده,0,0,"",""
3992660120409,الگوهای تصمیم گیری کارآفرینان,احسان چیت ساز,10,0,"232, 91, 139, 177, 115, 131, 178, 118, 233, 132",""
3992910153603,طرح معماری ارشد 2,سیدغلامرضا اسلامی,0,0,"",""
3992910461110,تاریخ تحلیلی هنر جهان,شباهنگ کوثر,10,0,"127, 112, 115, 127, 126, 120, 123, 111, 119, 106",""
3992220120209,نقد و بررسی نظریه های سازمان و مدیریت,دکتر حمید زارع,4,0,"22, 58, 64, 75",""
3992910484801,کارگاه عکاسی معماری,رضا صوفی,0,0,"",""
3992150252001,روش تحقیق در کارآفرینی,دکتر محمد رضا زالی,9,0,"114, 111, 109, 112, 138, 137, 93, 78, 126",""
3992440120901,ریاضیات 2,علیرضا صدیقی,6,0,"47, 51, 56, 84, 61, 60",""
3992750127001,ارتوپدی دامپزشکی,میرسپهر پدرام,0,0,"",""
3992812000712,آزمایشگاه شیمی عمومی 1,معصومه چمک,0,0,"",""
3992210524605,حقوق اقتصادی,"جعفر نوری یوشانلوئی, محسن صادقی",3,0,"77, 76, 81",""
3992420302303,تاریخ تصوف 1,محمود شیخ,11,2,"72, 141, 131, 72, 77, 93, 132, 89, 82, 97, 192","41, 104"
3992111022501,ریززیست فناوری,مهران حبیبی رضائی,0,0,"",""
3992750826501,کارورزی مامایی 2,"حمید قاسم زاده نوا, مسعود طالب خان گروسی, فرامرز قراگوزلو, وحید اکبری نژاد, مهدی وجگانی, امیر نیاسری نسلجی",0,0,"",""
3992751203612,تصویربرداری مداخله ای,"مجید مسعودی فرد, علیرضا وجهی, سارنگ سروری, محمد ملازم",0,0,"",""
3992751204912,کشیک درمانگاهی جراحی 2,"محمدمهدی دهقان, فرج اله ادیب هاشمی, سیدمهدی قمصری, فریدون صابری افشار, میرسپهر پدرام, سعید فرزاد مهاجری",0,0,"",""
3992660124312,تئوری های کارآفرینی,دکتر غلامحسین حسینی نیا,13,0,"98, 103, 102, 113, 105, 106, 99, 9, 111, 96, 166, 95, 126",""
3992751205612,جراحی دستگاه گوارش نشخوارکنندگان,فرج اله ادیب هاشمی,0,0,"",""
3992751205712,جراحی دستگاه گوارش اسب سانان,فریدون صابری افشار,0,0,"",""
3992660501503,ایجاد کسب و کار,دکتر نرگس ایمانی پور,12,0,"82, 94, 100, 89, 97, 99, 92, 85, 16, 96, 5, 81",""
3992750719007,مدیریت پدافند غیرعامل و مقابله با بلایا در دامپزشکی,"سعید بکایی, علیرضا باهنر, حسام الدین اکبرین",0,0,"",""
3992220103513,ریاضیات و کاربرد آن در مدیریت,محمد رضا فتحی,0,0,"",""
